title,description,category,company
Data Scientist,Python machine learning predictive modeling data analysis pandas numpy,Data Science,Google
Machine Learning Engineer,Deep learning neural networks python tensorflow pytorch AI systems,Data Science,OpenAI
AI Engineer,Artificial intelligence machine learning algorithms python deep learning models,Data Science,Nvidia
Data Analyst,SQL python data visualization analytics business intelligence dashboards,Data Science,Microsoft
Data Engineer,Python spark big data pipelines data processing ETL systems,Data Science,Uber
Research Scientist,Develop machine learning algorithms for predictive modeling and AI systems,Data Science,IBM
AI Developer,Design artificial intelligence solutions using python deep learning and data science tools,Data Science,Intel
Deep Learning Engineer,Neural networks computer vision python tensorflow pytorch AI development,Data Science,Apple
NLP Engineer,Natural language processing python transformers machine learning AI systems,Data Science,HuggingFace
Data Science Intern,Work with python pandas numpy data cleaning analysis and machine learning,Data Science,Meta
Data Scientist,Analyze large datasets build predictive machine learning models python,Data Science,Amazon
ML Engineer,Develop machine learning pipelines and train AI models using python,Data Science,Tesla
Business Analyst,Analyze business data using SQL python dashboards visualization tools,Data Science,Oracle
AI Researcher,Research artificial intelligence machine learning algorithms deep learning models,Data Science,DeepMind
Data Visualization Specialist,Create dashboards and analytics reports using python and BI tools,Data Science,Tableau
Software Engineer,Java backend developer spring boot REST APIs microservices architecture,Software,Amazon
Backend Developer,Python flask django backend APIs database development,Software,Netflix
Frontend Developer,React javascript html css UI development responsive web design,Software,Meta
Full Stack Developer,Nodejs react javascript full stack web development applications,Software,Stripe
Mobile App Developer,Android kotlin mobile app development user interface design,Software,Spotify
Python Developer,Build backend systems using python django flask APIs and databases,Software,Google
Java Developer,Develop enterprise applications using java spring boot microservices architecture,Software,Oracle
Web Developer,HTML CSS javascript frontend development responsive UI web apps,Software,Adobe
Software Tester,Perform software testing automation QA selenium python testing frameworks,Software,Microsoft
DevOps Engineer,Manage CI CD pipelines docker kubernetes cloud deployment automation,Software,AWS
Cloud Engineer,Develop cloud infrastructure solutions using AWS docker and microservices,Software,IBM
Game Developer,Develop video games using unity C# game engines graphics programming,Software,Unity
Embedded Software Engineer,C programming embedded systems microcontrollers hardware integration,Software,Intel
iOS Developer,Develop iPhone applications using swift mobile UI frameworks,Software,Apple
Android Developer,Develop android mobile applications using kotlin java UI frameworks,Software,Google
Digital Marketing Specialist,SEO social media campaigns google ads marketing analytics strategy,Marketing,Adobe
Marketing Manager,Brand marketing campaign management digital strategy advertising,Marketing,Tesla
Content Marketing Specialist,SEO content writing blogging marketing strategy social media,Marketing,HubSpot
Social Media Manager,Manage instagram facebook twitter campaigns marketing engagement analytics,Marketing,Canva
Marketing Analyst,Analyze marketing campaign performance advertising strategy and customer trends,Marketing,Shopify
Brand Manager,Develop brand strategy and advertising marketing campaigns,Marketing,Nike
Advertising Specialist,Manage digital advertising campaigns google ads facebook ads analytics,Marketing,Meta
SEO Specialist,Search engine optimization keyword research website ranking strategies,Marketing,Ahrefs
Email Marketing Manager,Develop email marketing campaigns customer engagement automation tools,Marketing,Mailchimp
Growth Marketing Manager,Drive user acquisition growth marketing strategies analytics campaigns,Marketing,Airbnb
Content Strategist,Create content strategies social media campaigns and marketing plans,Marketing,Buffer
Digital Advertising Manager,Manage paid marketing campaigns analytics performance tracking,Marketing,LinkedIn
Marketing Executive,Promote products through marketing campaigns social media advertising,Marketing,Pepsi
Social Media Analyst,Analyze marketing performance metrics engagement campaigns insights,Marketing,TikTok
Product Marketing Manager,Develop product marketing strategies customer targeting campaigns,Marketing,Salesforce
